LocationID,Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,StratificationCategory1,Stratification1,TopicID,X_long,Y_lat
1033,2012,AL,Colbert,County,NVSS,Cardiovascular Diseases,Stroke,22.7,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,18.3,27.4,Age group,Ages 35-64 years,T6,-87.80505926,34.70050771
1033,2012,AL,Colbert,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,52.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,42.1,65.2,Age group,Ages 35-64 years,T2,-87.80505926,34.70050771
1033,2012,AL,Colbert,County,NVSS,Cardiovascular Diseases,Stroke,291,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,247.9,329.4,Age group,Ages 65 years and older,T6,-87.80505926,34.70050771
1033,2012,AL,Colbert,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,551.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,471.7,635.9,Age group,Ages 65 years and older,T2,-87.80505926,34.70050771
1035,2012,AL,Conecuh,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,875.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,687.8,1085.8,Age group,Ages 65 years and older,T2,-86.99377231,31.42933115
1035,2012,AL,Conecuh,County,NVSS,Cardiovascular Diseases,Stroke,27.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,21,37.4,Age group,Ages 35-64 years,T6,-86.99377231,31.42933115
1035,2012,AL,Conecuh,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,68.8,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,52.4,99,Age group,Ages 35-64 years,T2,-86.99377231,31.42933115
1035,2012,AL,Conecuh,County,NVSS,Cardiovascular Diseases,Stroke,317.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,262.7,382.9,Age group,Ages 65 years and older,T6,-86.99377231,31.42933115
1037,2012,AL,Coosa,County,NVSS,Cardiovascular Diseases,Stroke,22,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,14.7,28.8,Age group,Ages 35-64 years,T6,-86.24777279,32.93632232
1037,2012,AL,Coosa,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,58,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,46.5,71.9,Age group,Ages 35-64 years,T2,-86.24777279,32.93632232
1037,2012,AL,Coosa,County,NVSS,Cardiovascular Diseases,Stroke,273.7,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,215.6,323.7,Age group,Ages 65 years and older,T6,-86.24777279,32.93632232
1037,2012,AL,Coosa,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,545,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,456.2,621.8,Age group,Ages 65 years and older,T2,-86.24777279,32.93632232
1039,2012,AL,Covington,County,NVSS,Cardiovascular Diseases,Stroke,383.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,330.6,432.9,Age group,Ages 65 years and older,T6,-86.45140741,31.24847262
1039,2012,AL,Covington,County,NVSS,Cardiovascular Diseases,Stroke,26.1,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,20.7,32.1,Age group,Ages 35-64 years,T6,-86.45140741,31.24847262
1039,2012,AL,Covington,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,64.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,50.9,77.8,Age group,Ages 35-64 years,T2,-86.45140741,31.24847262
1039,2012,AL,Covington,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,662,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,591.1,755,Age group,Ages 65 years and older,T2,-86.45140741,31.24847262
1041,2012,AL,Crenshaw,County,NVSS,Cardiovascular Diseases,Stroke,27.8,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,22.9,34,Age group,Ages 35-64 years,T6,-86.31352639,31.73147323
1041,2012,AL,Crenshaw,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,68.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,53.4,85.1,Age group,Ages 35-64 years,T2,-86.31352639,31.73147323
1041,2012,AL,Crenshaw,County,NVSS,Cardiovascular Diseases,Stroke,317.8,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,276.7,383.2,Age group,Ages 65 years and older,T6,-86.31352639,31.73147323
1041,2012,AL,Crenshaw,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,606.7,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,515.9,723.3,Age group,Ages 65 years and older,T2,-86.31352639,31.73147323
1043,2012,AL,Cullman,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,77.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,66.1,91.4,Age group,Ages 35-64 years,T2,-86.86745972,34.13171053
1043,2012,AL,Cullman,County,NVSS,Cardiovascular Diseases,Stroke,348,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,309,392.7,Age group,Ages 65 years and older,T6,-86.86745972,34.13171053
1043,2012,AL,Cullman,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,690.9,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,620.7,775,Age group,Ages 65 years and older,T2,-86.86745972,34.13171053
1043,2012,AL,Cullman,County,NVSS,Cardiovascular Diseases,Stroke,25.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,21.1,29.8,Age group,Ages 35-64 years,T6,-86.86745972,34.13171053
1045,2012,AL,Dale,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,64.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,54.1,80,Age group,Ages 35-64 years,T2,-85.61095911,31.43172003
1045,2012,AL,Dale,County,NVSS,Cardiovascular Diseases,Stroke,240.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,208.1,283.2,Age group,Ages 65 years and older,T6,-85.61095911,31.43172003
1045,2012,AL,Dale,County,NVSS,Cardiovascular Diseases,Stroke,23.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,19.6,29.3,Age group,Ages 35-64 years,T6,-85.61095911,31.43172003
1045,2012,AL,Dale,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,699.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,612.9,826.9,Age group,Ages 65 years and older,T2,-85.61095911,31.43172003
1047,2012,AL,Dallas,County,NVSS,Cardiovascular Diseases,Stroke,344.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,299.9,396.5,Age group,Ages 65 years and older,T6,-87.10652067,32.32606624
1047,2012,AL,Dallas,County,NVSS,Cardiovascular Diseases,Stroke,39.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,32.4,45.8,Age group,Ages 35-64 years,T6,-87.10652067,32.32606624
1047,2012,AL,Dallas,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,148.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,125.8,180.5,Age group,Ages 35-64 years,T2,-87.10652067,32.32606624
1047,2012,AL,Dallas,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,843.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,742.4,960.6,Age group,Ages 65 years and older,T2,-87.10652067,32.32606624
1049,2012,AL,DeKalb,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,703.7,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,620.7,798.7,Age group,Ages 65 years and older,T2,-85.80420937,34.45996386
1049,2012,AL,DeKalb,County,NVSS,Cardiovascular Diseases,Stroke,291.6,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,253.2,339.3,Age group,Ages 65 years and older,T6,-85.80420937,34.45996386
1049,2012,AL,DeKalb,County,NVSS,Cardiovascular Diseases,Stroke,19.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,15.8,23.2,Age group,Ages 35-64 years,T6,-85.80420937,34.45996386
1049,2012,AL,DeKalb,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,56.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,46.5,65.7,Age group,Ages 35-64 years,T2,-85.80420937,34.45996386
1051,2012,AL,Elmore,County,NVSS,Cardiovascular Diseases,Stroke,282.3,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,242.2,323.4,Age group,Ages 65 years and older,T6,-86.14896296,32.59706731
1051,2012,AL,Elmore,County,NVSS,Cardiovascular Diseases,Stroke,21.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,18,25.4,Age group,Ages 35-64 years,T6,-86.14896296,32.59706731
1051,2012,AL,Elmore,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,42.4,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,35.5,51.8,Age group,Ages 35-64 years,T2,-86.14896296,32.59706731
1051,2012,AL,Elmore,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,483.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,427.2,551.8,Age group,Ages 65 years and older,T2,-86.14896296,32.59706731
1053,2012,AL,Escambia,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,1022.7,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,913.1,1159.2,Age group,Ages 65 years and older,T2,-87.16148904,31.12624334
1053,2012,AL,Escambia,County,NVSS,Cardiovascular Diseases,Stroke,332,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,294.5,383.8,Age group,Ages 65 years and older,T6,-87.16148904,31.12624334
1053,2012,AL,Escambia,County,NVSS,Cardiovascular Diseases,Stroke,31.7,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,23.5,38.3,Age group,Ages 35-64 years,T6,-87.16148904,31.12624334
1053,2012,AL,Escambia,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,86.1,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,71.8,107.1,Age group,Ages 35-64 years,T2,-87.16148904,31.12624334
1055,2012,AL,Etowah,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,113.1,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,95.8,133.3,Age group,Ages 35-64 years,T2,-86.03446443,34.04497916
1055,2012,AL,Etowah,County,NVSS,Cardiovascular Diseases,Stroke,327,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,287.9,368.8,Age group,Ages 65 years and older,T6,-86.03446443,34.04497916
1055,2012,AL,Etowah,County,NVSS,Cardiovascular Diseases,Stroke,23.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,19.2,28.8,Age group,Ages 35-64 years,T6,-86.03446443,34.04497916
1055,2012,AL,Etowah,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,753.2,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,667.4,832.8,Age group,Ages 65 years and older,T2,-86.03446443,34.04497916
1057,2012,AL,Fayette,County,NVSS,Cardiovascular Diseases,Stroke,422.8,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,367.2,508.2,Age group,Ages 65 years and older,T6,-87.73888336,33.72127452
1057,2012,AL,Fayette,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,106.5,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,86.9,137,Age group,Ages 35-64 years,T2,-87.73888336,33.72127452
1057,2012,AL,Fayette,County,NVSS,Cardiovascular Diseases,Stroke,24.1,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,19.2,32.1,Age group,Ages 35-64 years,T6,-87.73888336,33.72127452
1057,2012,AL,Fayette,County,NVSS,Cardiovascular Diseases,Coronary Heart Disease,691.6,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,607.5,816.1,Age group,Ages 65 years and older,T2,-87.73888336,33.72127452
1059,2012,AL,Franklin,County,NVSS,Cardiovascular Diseases,Stroke,23.6,"per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate",,,19.4,30.5,Age group,Ages 35-64 years,T6,-87.84362647,34.44204214
